PassengerId,Age,SibSp,Parch,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male
892,34.5,0,0,0,0,1,0,1,0,0,1
893,47.0,1,0,0,0,1,0,0,1,1,0
894,62.0,0,0,0,1,0,0,1,0,0,1
895,27.0,0,0,0,0,1,0,0,1,0,1
896,22.0,1,1,0,0,1,0,0,1,1,0
897,14.0,0,0,0,0,1,0,0,1,0,1
898,30.0,0,0,0,0,1,0,1,0,1,0
899,26.0,1,1,0,1,0,0,0,1,0,1
900,18.0,0,0,0,0,1,1,0,0,1,0
901,21.0,2,0,0,0,1,0,0,1,0,1
902,29.9,0,0,0,0,1,0,0,1,0,1
903,46.0,0,0,1,0,0,0,0,1,0,1
904,23.0,1,0,1,0,0,0,0,1,1,0
905,63.0,1,0,0,1,0,0,0,1,0,1
906,47.0,1,0,1,0,0,0,0,1,1,0
907,24.0,1,0,0,1,0,1,0,0,1,0
908,35.0,0,0,0,1,0,0,1,0,0,1
909,21.0,0,0,0,0,1,1,0,0,0,1
910,27.0,1,0,0,0,1,0,0,1,1,0
911,45.0,0,0,0,0,1,1,0,0,1,0
912,55.0,1,0,1,0,0,1,0,0,0,1
913,9.0,0,1,0,0,1,0,0,1,0,1
914,29.9,0,0,1,0,0,0,0,1,1,0
915,21.0,0,1,1,0,0,1,0,0,0,1
916,48.0,1,3,1,0,0,1,0,0,1,0
917,50.0,1,0,0,0,1,0,0,1,0,1
918,22.0,0,1,1,0,0,1,0,0,1,0
919,22.5,0,0,0,0,1,1,0,0,0,1
920,41.0,0,0,1,0,0,0,0,1,0,1
921,29.9,2,0,0,0,1,1,0,0,0,1
922,50.0,1,0,0,1,0,0,0,1,0,1
923,24.0,2,0,0,1,0,0,0,1,0,1
924,33.0,1,2,0,0,1,0,0,1,1,0
925,29.9,1,2,0,0,1,0,0,1,1,0
926,30.0,1,0,1,0,0,1,0,0,0,1
927,18.5,0,0,0,0,1,1,0,0,0,1
928,29.9,0,0,0,0,1,0,0,1,1,0
929,21.0,0,0,0,0,1,0,0,1,1,0
930,25.0,0,0,0,0,1,0,0,1,0,1
931,29.9,0,0,0,0,1,0,0,1,0,1
932,39.0,0,1,0,0,1,1,0,0,0,1
933,29.9,0,0,1,0,0,0,0,1,0,1
934,41.0,0,0,0,0,1,0,0,1,0,1
935,30.0,0,0,0,1,0,0,0,1,1,0
936,45.0,1,0,1,0,0,0,0,1,1,0
937,25.0,0,0,0,0,1,0,0,1,0,1
938,45.0,0,0,1,0,0,1,0,0,0,1
939,29.9,0,0,0,0,1,0,1,0,0,1
940,60.0,0,0,1,0,0,1,0,0,1,0
941,36.0,0,2,0,0,1,0,0,1,1,0
942,24.0,1,0,1,0,0,0,0,1,0,1
943,27.0,0,0,0,1,0,1,0,0,0,1
944,20.0,2,1,0,1,0,0,0,1,1,0
945,28.0,3,2,1,0,0,0,0,1,1,0
946,29.9,0,0,0,1,0,1,0,0,0,1
947,10.0,4,1,0,0,1,0,1,0,0,1
948,35.0,0,0,0,0,1,0,0,1,0,1
949,25.0,0,0,0,0,1,0,0,1,0,1
950,29.9,1,0,0,0,1,0,0,1,0,1
951,36.0,0,0,1,0,0,1,0,0,1,0
952,17.0,0,0,0,0,1,0,0,1,0,1
953,32.0,0,0,0,1,0,0,0,1,0,1
954,18.0,0,0,0,0,1,0,0,1,0,1
955,22.0,0,0,0,0,1,0,1,0,1,0
956,13.0,2,2,1,0,0,1,0,0,0,1
957,29.9,0,0,0,1,0,0,0,1,1,0
958,18.0,0,0,0,0,1,0,1,0,1,0
959,47.0,0,0,1,0,0,0,0,1,0,1
960,31.0,0,0,1,0,0,1,0,0,0,1
961,60.0,1,4,1,0,0,0,0,1,1,0
962,24.0,0,0,0,0,1,0,1,0,1,0
963,21.0,0,0,0,0,1,0,0,1,0,1
964,29.0,0,0,0,0,1,0,0,1,1,0
965,28.5,0,0,1,0,0,1,0,0,0,1
966,35.0,0,0,1,0,0,1,0,0,1,0
967,32.5,0,0,1,0,0,1,0,0,0,1
968,29.9,0,0,0,0,1,0,0,1,0,1
