PassengerId,Age,SibSp,Parch,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,Survived
1,22.0,1,0,0,0,1,0,0,1,0,1,0
2,38.0,1,0,1,0,0,1,0,0,1,0,1
3,26.0,0,0,0,0,1,0,0,1,1,0,1
4,35.0,1,0,1,0,0,0,0,1,1,0,1
5,35.0,0,0,0,0,1,0,0,1,0,1,0
6,29.9,0,0,0,0,1,0,1,0,0,1,0
7,54.0,0,0,1,0,0,0,0,1,0,1,0
8,2.0,3,1,0,0,1,0,0,1,0,1,0
9,27.0,0,2,0,0,1,0,0,1,1,0,1
10,14.0,1,0,0,1,0,1,0,0,1,0,1
11,4.0,1,1,0,0,1,0,0,1,1,0,1
12,58.0,0,0,1,0,0,0,0,1,1,0,1
13,20.0,0,0,0,0,1,0,0,1,0,1,0
14,39.0,1,5,0,0,1,0,0,1,0,1,0
15,14.0,0,0,0,0,1,0,0,1,1,0,0
16,55.0,0,0,0,1,0,0,0,1,1,0,1
17,2.0,4,1,0,0,1,0,1,0,0,1,0
18,29.9,0,0,0,1,0,0,0,1,0,1,1
19,31.0,1,0,0,0,1,0,0,1,1,0,0
20,29.9,0,0,0,0,1,1,0,0,1,0,1
21,35.0,0,0,0,1,0,0,0,1,0,1,0
22,34.0,0,0,0,1,0,0,0,1,0,1,1
23,15.0,0,0,0,0,1,0,1,0,1,0,1
24,28.0,0,0,1,0,0,0,0,1,0,1,1
25,8.0,3,1,0,0,1,0,0,1,1,0,0
26,38.0,1,5,0,0,1,0,0,1,1,0,1
27,29.9,0,0,0,0,1,1,0,0,0,1,0
28,19.0,3,2,1,0,0,0,0,1,0,1,0
29,29.9,0,0,0,0,1,0,1,0,1,0,1
30,29.9,0,0,0,0,1,0,0,1,0,1,0
31,40.0,0,0,1,0,0,1,0,0,0,1,0
32,29.9,1,0,1,0,0,1,0,0,1,0,1
33,29.9,0,0,0,0,1,0,1,0,1,0,1
34,66.0,0,0,0,1,0,0,0,1,0,1,0
35,28.0,1,0,1,0,0,1,0,0,0,1,0
36,42.0,1,0,1,0,0,0,0,1,0,1,0
37,29.9,0,0,0,0,1,1,0,0,0,1,1
38,21.0,0,0,0,0,1,0,0,1,0,1,0
39,18.0,2,0,0,0,1,0,0,1,1,0,0
40,14.0,1,0,0,0,1,1,0,0,1,0,1
41,40.0,1,0,0,0,1,0,0,1,1,0,0
42,27.0,1,0,0,1,0,0,0,1,1,0,0
43,29.9,0,0,0,0,1,1,0,0,0,1,0
44,3.0,1,2,0,1,0,1,0,0,1,0,1
45,19.0,0,0,0,0,1,0,1,0,1,0,1
46,29.9,0,0,0,0,1,0,0,1,0,1,0
47,29.9,1,0,0,0,1,0,1,0,0,1,0
48,29.9,0,0,0,0,1,0,1,0,1,0,1
49,29.9,2,0,0,0,1,1,0,0,0,1,0
50,18.0,1,0,0,0,1,0,0,1,1,0,0
51,7.0,4,1,0,0,1,0,0,1,0,1,0
52,21.0,0,0,0,0,1,0,0,1,0,1,0
53,49.0,1,0,1,0,0,1,0,0,1,0,1
54,29.0,1,0,0,1,0,0,0,1,1,0,1
55,65.0,0,1,1,0,0,1,0,0,0,1,0
56,29.9,0,0,1,0,0,0,0,1,0,1,1
57,21.0,0,0,0,1,0,0,0,1,1,0,1
58,28.5,0,0,0,0,1,1,0,0,0,1,0
59,5.0,1,2,0,1,0,0,0,1,1,0,1
60,11.0,5,2,0,0,1,0,0,1,0,1,0
61,22.0,0,0,0,0,1,1,0,0,0,1,0
62,38.0,0,0,1,0,0,0,0,0,1,0,1
63,45.0,1,0,1,0,0,0,0,1,0,1,0
64,4.0,3,2,0,0,1,0,0,1,0,1,0
65,29.9,0,0,1,0,0,1,0,0,0,1,0
66,29.9,1,1,0,0,1,1,0,0,0,1,1
67,29.0,0,0,0,1,0,0,0,1,1,0,1
68,19.0,0,0,0,0,1,0,0,1,0,1,0
69,17.0,4,2,0,0,1,0,0,1,1,0,1
70,26.0,2,0,0,0,1,0,0,1,0,1,0
71,32.0,0,0,0,1,0,0,0,1,0,1,0
72,16.0,5,2,0,0,1,0,0,1,1,0,0
73,21.0,0,0,0,1,0,0,0,1,0,1,0
74,26.0,1,0,0,0,1,1,0,0,0,1,0
75,32.0,0,0,0,0,1,0,0,1,0,1,1
76,25.0,0,0,0,0,1,0,0,1,0,1,0
77,29.9,0,0,0,0,1,0,0,1,0,1,0
78,29.9,0,0,0,0,1,0,0,1,0,1,0
79,0.83,0,2,0,1,0,0,0,1,0,1,1
80,30.0,0,0,0,0,1,0,0,1,1,0,1
81,22.0,0,0,0,0,1,0,0,1,0,1,0
82,29.0,0,0,0,0,1,0,0,1,0,1,1
83,29.9,0,0,0,0,1,0,1,0,1,0,1
84,28.0,0,0,1,0,0,0,0,1,0,1,0
85,17.0,0,0,0,1,0,0,0,1,1,0,1
86,33.0,3,0,0,0,1,0,0,1,1,0,1
87,16.0,1,3,0,0,1,0,0,1,0,1,0
88,29.9,0,0,0,0,1,0,0,1,0,1,0
89,23.0,3,2,1,0,0,0,0,1,1,0,1
90,24.0,0,0,0,0,1,0,0,1,0,1,0
91,29.0,0,0,0,0,1,0,0,1,0,1,0
92,20.0,0,0,0,0,1,0,0,1,0,1,0
93,46.0,1,0,1,0,0,0,0,1,0,1,0
94,26.0,1,2,0,0,1,0,0,1,0,1,0
95,59.0,0,0,0,0,1,0,0,1,0,1,0
96,29.9,0,0,0,0,1,0,0,1,0,1,0
97,71.0,0,0,1,0,0,1,0,0,0,1,0
98,23.0,0,1,1,0,0,1,0,0,0,1,1
99,34.0,0,1,0,1,0,0,0,1,1,0,1
100,34.0,1,0,0,1,0,0,0,1,0,1,0
101,28.0,0,0,0,0,1,0,0,1,1,0,0
102,29.9,0,0,0,0,1,0,0,1,0,1,0
103,21.0,0,1,1,0,0,0,0,1,0,1,0
104,33.0,0,0,0,0,1,0,0,1,0,1,0
105,37.0,2,0,0,0,1,0,0,1,0,1,0
106,28.0,0,0,0,0,1,0,0,1,0,1,0
107,21.0,0,0,0,0,1,0,0,1,1,0,1
108,29.9,0,0,0,0,1,0,0,1,0,1,1
109,38.0,0,0,0,0,1,0,0,1,0,1,0
110,29.9,1,0,0,0,1,0,1,0,1,0,1
111,47.0,0,0,1,0,0,0,0,1,0,1,0
112,14.5,1,0,0,0,1,1,0,0,1,0,0
113,22.0,0,0,0,0,1,0,0,1,0,1,0
114,20.0,1,0,0,0,1,0,0,1,1,0,0
115,17.0,0,0,0,0,1,1,0,0,1,0,0
116,21.0,0,0,0,0,1,0,0,1,0,1,0
117,70.5,0,0,0,0,1,0,1,0,0,1,0
118,29.0,1,0,0,1,0,0,0,1,0,1,0
119,24.0,0,1,1,0,0,1,0,0,0,1,0
120,2.0,4,2,0,0,1,0,0,1,1,0,0
121,21.0,2,0,0,1,0,0,0,1,0,1,0
122,29.9,0,0,0,0,1,0,0,1,0,1,0
123,32.5,1,0,0,1,0,1,0,0,0,1,0
124,32.5,0,0,0,1,0,0,0,1,1,0,1
125,54.0,0,1,1,0,0,0,0,1,0,1,0
126,12.0,1,0,0,0,1,1,0,0,0,1,1
127,29.9,0,0,0,0,1,0,1,0,0,1,0
128,24.0,0,0,0,0,1,0,0,1,0,1,1
129,29.9,1,1,0,0,1,1,0,0,1,0,1
130,45.0,0,0,0,0,1,0,0,1,0,1,0
131,33.0,0,0,0,0,1,1,0,0,0,1,0
132,20.0,0,0,0,0,1,0,0,1,0,1,0
133,47.0,1,0,0,0,1,0,0,1,1,0,0
134,29.0,1,0,0,1,0,0,0,1,1,0,1
135,25.0,0,0,0,1,0,0,0,1,0,1,0
